detour_distance_km,detour_time_min,pickup_zone_risk,expected_extra_profit,fuel_cost_estimate,hour_of_day,is_raining,driver_historical_acceptance,target_accepted
9.67,13.58,0.21,90.74,19.34,17,0,0.8,1
9.69,15.99,0.6,125.55,19.37,8,0,0.54,1
8.27,15.21,0.2,65.63,16.54,8,1,0.76,1
1.81,1.93,0.17,29.83,3.62,12,0,0.83,1
12.61,36.64,0.21,122.14,25.22,17,0,0.99,1
5.15,9.14,0.1,60.45,10.3,16,1,0.66,1
3.2,6.3,0.21,39.65,6.41,6,0,1.0,1
1.09,1.75,0.53,27.47,2.18,6,0,0.61,1
9.07,15.29,0.12,127.18,18.14,18,0,0.81,1
10.32,16.15,0.13,108.71,20.65,1,0,0.55,1
0.74,2.09,0.38,24.16,1.48,15,0,0.78,1
7.93,12.48,0.42,62.39,15.85,21,1,0.33,1
3.78,8.76,0.49,40.03,7.57,22,1,0.74,1
9.86,25.38,0.05,96.11,19.71,1,0,0.99,1
3.03,10.14,0.19,53.49,6.06,14,1,0.64,1
10.52,12.8,0.41,133.92,21.04,15,0,0.86,1
6.11,10.7,0.09,66.27,12.22,15,0,0.6,1
14.08,19.56,0.48,166.75,28.17,5,0,0.96,1
2.49,3.13,0.42,45.6,4.99,21,0,0.55,1
5.45,7.17,0.09,65.64,10.89,10,0,0.71,1
2.15,3.56,0.19,36.8,4.29,23,0,0.62,1
13.91,25.71,0.2,107.12,27.82,8,0,0.84,1
13.22,24.85,0.33,111.91,26.44,17,1,0.62,1
4.24,5.81,0.21,51.25,8.48,22,1,0.66,1
10.07,16.21,0.14,127.64,20.14,5,0,0.3,1
12.35,13.93,0.55,129.55,24.7,22,0,0.73,1
8.55,9.44,0.18,74.78,17.1,3,0,0.74,1
8.18,21.64,0.25,66.39,16.36,17,0,0.64,1
4.01,11.38,0.35,53.96,8.01,1,0,0.38,1
1.85,2.56,0.19,37.88,3.7,12,0,0.61,1
13.51,28.39,0.36,164.99,27.02,0,1,0.77,1
13.56,51.36,0.2,163.44,27.11,8,0,0.45,0
9.68,10.56,0.61,124.24,19.36,13,0,0.31,1
5.42,12.89,0.16,64.06,10.83,3,1,0.84,1
5.56,5.88,0.21,81.53,11.13,20,0,0.7,1
11.03,13.99,0.45,109.45,22.05,3,0,0.93,1
13.51,16.43,0.48,103.44,27.02,19,0,0.65,1
13.36,33.32,0.25,123.98,26.73,14,0,0.62,1
11.81,27.74,0.61,107.15,23.62,21,0,0.4,1
9.81,15.3,0.07,95.98,19.62,14,0,1.0,1
1.72,4.54,0.25,36.53,3.44,12,0,0.71,1
2.84,5.94,0.2,47.29,5.69,13,0,0.61,1
13.53,27.55,0.27,108.94,27.06,21,0,0.58,1
9.29,25.14,0.15,87.02,18.59,0,0,1.0,1
0.63,1.57,0.28,25.81,1.27,0,0,0.73,1
1.97,2.34,0.1,31.02,3.94,22,0,0.86,1
10.12,26.96,0.24,119.39,20.24,0,0,0.76,1
0.57,2.11,0.24,23.58,1.15,14,0,0.91,1
2.83,3.92,0.3,51.02,5.66,0,0,0.69,1
8.46,8.61,0.24,86.06,16.91,5,0,0.71,1
10.53,21.13,0.19,88.94,21.06,23,0,0.67,1
9.95,29.36,0.13,116.3,19.91,6,0,0.89,1
3.75,5.54,0.34,53.31,7.5,21,0,0.79,1
10.83,11.64,0.19,87.16,21.65,22,1,0.97,1
3.94,4.7,0.38,62.51,7.88,1,0,0.68,1
5.22,7.28,0.19,62.65,10.44,21,0,0.56,1
11.32,23.29,0.11,88.69,22.65,8,0,0.8,1
9.92,15.11,0.07,124.88,19.84,3,0,0.74,1
12.81,40.24,0.15,96.04,25.63,17,0,0.61,0
10.04,13.22,0.59,138.18,20.07,14,0,0.52,1
8.74,11.01,0.08,90.73,17.48,23,1,0.76,1
1.86,1.91,0.12,38.76,3.72,7,0,0.37,1
5.83,13.1,0.24,67.61,11.66,6,0,0.66,1
4.35,16.47,0.16,47.43,8.69,7,0,0.85,1
4.04,6.13,0.24,61.62,8.08,12,0,0.7,1
14.61,18.73,0.35,122.63,29.22,2,0,0.52,1
6.2,7.36,0.53,80.62,12.4,5,0,0.68,1
13.43,33.99,0.18,111.38,26.87,6,0,0.66,1
9.65,21.62,0.63,84.55,19.3,4,1,1.0,1
12.02,18.95,0.49,118.63,24.05,17,0,1.0,1
7.79,15.64,0.15,103.44,15.58,14,0,0.77,1
8.87,9.9,0.51,102.4,17.73,22,0,0.78,1
7.64,12.62,0.14,61.67,15.28,1,1,0.55,1
3.33,3.92,0.08,53.77,6.66,21,0,0.54,1
10.98,16.01,0.12,119.42,21.95,19,0,0.69,1
4.57,5.51,0.21,62.81,9.14,9,0,0.73,1
0.85,1.71,0.04,26.37,1.71,3,0,0.76,1
9.86,11.29,0.12,107.68,19.72,11,1,0.56,1
3.07,6.73,0.05,43.33,6.14,20,0,0.79,1
14.14,21.43,0.64,98.75,28.27,14,0,0.49,1
14.33,34.91,0.19,176.38,28.66,10,0,0.64,1
13.77,22.69,0.37,154.16,27.53,13,0,0.76,1
5.87,12.01,0.17,76.87,11.73,6,0,0.38,1
0.72,1.61,0.25,24.6,1.45,23,0,0.57,1
13.96,14.32,0.07,154.65,27.92,13,0,0.69,1
6.71,18.13,0.15,64.44,13.42,7,1,0.68,1
14.52,17.27,0.29,162.45,29.03,13,1,0.53,1
14.47,14.65,0.07,126.15,28.94,22,0,0.52,1
12.87,48.57,0.16,98.53,25.74,5,0,0.75,0
4.77,6.16,0.28,74.1,9.54,17,0,0.47,1
6.08,13.84,0.1,54.88,12.17,13,1,0.61,1
12.84,45.8,0.51,152.68,25.68,7,0,0.75,0
5.1,9.23,0.22,49.11,10.19,3,0,0.66,1
2.96,3.11,0.35,48.96,5.92,23,1,0.67,1
8.57,33.13,0.22,69.49,17.15,11,0,0.82,0
14.07,20.37,0.31,140.5,28.15,4,0,0.56,1
10.59,16.92,0.17,86.9,21.18,12,0,0.59,1
8.77,9.69,0.1,117.0,17.53,18,0,0.7,1
1.91,6.1,0.1,34.91,3.82,21,0,0.59,1
9.42,12.37,0.34,68.1,18.84,11,0,0.66,1
14.86,19.54,0.22,159.6,29.71,17,0,0.57,1
2.53,3.37,0.15,40.54,5.06,5,1,0.62,1
8.02,8.38,0.08,108.32,16.03,5,0,0.8,1
13.22,15.24,0.22,126.2,26.44,16,0,0.6,1
11.24,39.94,0.23,108.56,22.48,15,0,0.81,1
10.61,17.58,0.33,106.75,21.21,11,1,0.83,1
10.69,19.48,0.33,137.75,21.37,4,0,0.54,1
5.71,11.84,0.46,72.03,11.43,13,0,0.82,1
4.76,8.08,0.05,66.07,9.51,15,1,0.47,1
12.24,22.74,0.3,142.88,24.47,4,0,0.35,1
12.25,21.33,0.2,161.6,24.49,7,0,0.87,1
13.07,13.28,0.21,162.0,26.15,6,0,0.72,1
13.74,43.42,0.17,177.91,27.48,12,0,0.67,1
7.91,8.4,0.08,78.59,15.83,2,0,0.75,1
7.77,12.74,0.14,70.55,15.54,13,0,0.53,1
12.08,16.82,0.23,97.57,24.15,16,0,0.67,1
9.92,11.37,0.31,129.21,19.85,6,0,0.84,1
10.68,20.52,0.34,135.48,21.36,8,0,0.98,1
12.04,21.02,0.1,135.01,24.08,9,0,0.71,1
13.41,24.06,0.25,92.93,26.81,9,0,0.88,1
5.4,10.17,0.3,59.03,10.8,22,0,0.6,1
5.95,6.3,0.26,80.29,11.89,12,0,0.86,1
1.86,2.14,0.03,32.55,3.73,9,0,0.69,1
8.89,26.78,0.26,103.24,17.77,22,0,0.7,1
1.02,3.08,0.18,28.99,2.04,5,0,0.67,1
7.25,12.7,0.18,69.59,14.5,20,0,0.52,1
8.37,25.83,0.44,116.57,16.74,13,0,0.55,1
4.65,6.52,0.41,51.64,9.31,4,1,0.74,1
9.07,25.34,0.18,122.13,18.13,12,0,0.56,1
0.94,1.47,0.21,28.28,1.88,7,0,0.78,1
1.04,4.08,0.11,25.88,2.08,8,1,0.5,1
12.43,25.5,0.08,154.66,24.86,19,0,0.54,1
5.72,7.55,0.44,80.32,11.45,9,0,0.75,1
2.34,3.82,0.53,45.34,4.68,0,0,0.8,1
8.07,8.21,0.41,96.42,16.15,4,0,0.93,1
11.66,12.88,0.63,136.43,23.33,19,1,0.64,1
3.63,6.99,0.29,61.19,7.26,3,0,0.83,1
9.53,33.55,0.24,76.18,19.06,0,0,0.64,0
1.74,1.97,0.33,29.7,3.48,18,0,0.96,1
1.25,1.34,0.28,27.34,2.5,18,0,0.55,1
8.2,9.48,0.28,110.99,16.41,23,1,0.68,1
8.34,24.1,0.25,94.56,16.68,21,1,0.57,1
9.74,9.76,0.27,80.72,19.49,21,0,0.81,1
11.03,24.84,0.37,86.08,22.06,14,0,0.8,1
14.65,18.47,0.12,138.93,29.3,10,0,0.94,1
7.99,8.58,0.4,105.53,15.97,21,0,0.92,1
5.18,12.14,0.35,75.13,10.37,23,0,0.68,1
12.03,12.92,0.05,151.84,24.06,4,0,0.55,1
4.43,9.18,0.31,65.96,8.85,2,0,0.97,1
6.87,6.99,0.42,57.29,13.73,16,0,0.81,1
1.64,3.55,0.14,36.44,3.28,15,0,0.74,1
0.87,0.9,0.38,27.49,1.74,7,0,0.61,1
14.46,49.83,0.5,165.81,28.92,19,0,0.58,0
12.62,16.14,0.29,125.9,25.24,2,0,0.74,1
10.59,16.32,0.37,108.81,21.18,11,0,0.79,1
6.43,10.57,0.1,57.83,12.86,7,0,0.87,1
3.01,7.21,0.41,54.15,6.03,14,0,0.91,1
2.77,3.55,0.28,41.1,5.54,10,0,0.73,1
4.13,10.5,0.47,57.47,8.26,12,0,0.65,1
8.46,12.73,0.41,74.59,16.93,22,0,1.0,1
10.86,24.69,0.26,102.36,21.72,7,0,0.7,1
10.07,10.42,0.28,131.75,20.15,12,0,0.46,1
4.56,16.79,0.2,49.48,9.12,15,1,0.6,1
14.35,35.88,0.28,112.42,28.69,17,0,0.51,1
11.2,25.94,0.52,96.42,22.4,15,1,0.7,1
8.54,15.23,0.25,97.04,17.08,12,0,1.0,1
9.37,22.07,0.52,101.0,18.74,13,0,0.84,1
6.58,10.65,0.53,61.0,13.17,7,0,0.83,1
4.09,4.52,0.14,60.28,8.18,19,0,0.76,1
5.66,7.22,0.23,84.27,11.32,1,0,0.97,1
11.49,16.77,0.17,93.43,22.98,19,0,0.85,1
0.71,2.24,0.44,26.88,1.42,7,0,0.83,1
2.18,2.83,0.26,39.88,4.37,5,1,0.67,1
1.17,3.11,0.28,28.52,2.33,12,1,0.42,1
1.09,1.3,0.43,30.17,2.18,2,1,0.41,1
12.9,29.49,0.62,103.48,25.81,6,0,0.57,1
10.7,19.02,0.62,136.0,21.41,5,0,1.0,1
7.38,14.38,0.22,58.02,14.75,4,0,0.56,1
1.92,2.15,0.54,37.21,3.84,15,0,0.86,1
7.63,22.12,0.38,75.16,15.26,21,0,0.76,1
7.37,10.92,0.39,102.27,14.73,2,1,0.83,1
3.01,8.45,0.64,45.58,6.02,4,0,0.75,1
6.79,8.72,0.11,92.1,13.58,2,0,0.51,1
6.28,6.76,0.24,91.99,12.56,14,1,0.9,1
9.43,16.37,0.53,89.22,18.86,1,0,0.91,1
9.71,15.76,0.22,128.37,19.42,14,1,0.82,1
1.16,1.22,0.34,31.67,2.31,12,0,0.83,1
5.93,9.26,0.19,54.15,11.86,1,0,0.77,1
9.57,15.55,0.22,74.84,19.15,17,0,0.66,1
7.8,11.4,0.37,103.58,15.59,9,0,0.8,1
12.92,16.85,0.42,126.95,25.84,3,0,0.73,1
10.05,30.44,0.19,105.09,20.1,1,0,0.61,1
2.86,3.31,0.42,52.17,5.73,19,0,0.78,1
1.52,2.64,0.24,37.25,3.05,13,1,0.83,1
9.82,32.26,0.4,76.82,19.63,2,0,0.73,1
0.88,1.05,0.27,26.74,1.77,11,0,0.75,1
8.99,16.88,0.34,121.33,17.99,4,0,0.63,1
14.13,43.45,0.26,171.78,28.27,1,0,0.68,1
8.84,12.19,0.08,108.86,17.69,13,1,0.61,1
6.13,6.73,0.22,55.02,12.26,22,0,0.55,1
9.83,10.73,0.29,111.87,19.66,4,0,0.55,1
7.14,7.38,0.25,84.82,14.29,6,0,0.74,1
8.41,9.34,0.66,71.9,16.82,14,0,0.83,1
14.15,56.24,0.42,167.41,28.3,18,1,0.73,0
6.1,11.4,0.34,63.81,12.2,21,0,0.84,1
14.44,16.71,0.28,154.91,28.87,18,0,0.7,1
13.63,25.97,0.06,122.65,27.26,16,1,0.79,1
3.34,4.76,0.27,38.67,6.68,15,0,0.8,1
1.51,2.14,0.41,33.06,3.01,7,0,0.69,1
1.96,3.74,0.18,34.02,3.92,12,0,0.4,1
0.76,0.82,0.18,24.2,1.53,20,0,0.76,1
1.87,2.98,0.12,31.94,3.74,10,0,0.57,1
10.4,17.38,0.13,117.09,20.81,0,0,0.64,1
1.53,1.54,0.8,28.75,3.06,17,0,0.96,1
5.13,8.26,0.42,48.76,10.25,23,1,0.78,1
12.75,33.22,0.35,168.01,25.5,6,0,0.61,1
0.84,1.32,0.34,24.82,1.67,19,0,0.77,1
12.31,14.31,0.61,113.95,24.62,2,0,0.68,1
4.59,5.51,0.49,47.22,9.17,19,0,0.57,1
2.21,2.63,0.05,45.62,4.43,20,0,0.61,1
10.6,13.58,0.15,108.72,21.21,15,0,0.81,1
9.62,21.83,0.36,75.58,19.24,3,0,0.73,1
13.22,14.75,0.31,157.28,26.45,12,0,0.51,1
11.16,12.13,0.29,136.78,22.32,0,0,0.77,1
12.15,30.71,0.11,157.4,24.3,0,0,0.65,1
4.59,13.19,0.24,65.62,9.18,11,0,0.66,1
3.07,3.13,0.39,36.54,6.15,12,0,0.85,1
11.38,12.63,0.2,120.77,22.77,6,0,0.82,1
12.2,13.26,0.09,113.79,24.4,2,0,0.72,1
14.86,16.25,0.43,172.19,29.72,3,0,0.8,1
6.48,9.88,0.09,79.23,12.97,0,0,0.68,1
5.89,8.02,0.43,79.39,11.79,17,1,0.62,1
11.76,17.84,0.25,93.64,23.52,4,0,0.39,1
5.44,18.87,0.25,63.86,10.88,19,0,0.83,1
14.0,17.3,0.39,132.31,27.99,10,1,0.85,1
12.95,20.58,0.2,173.64,25.89,2,0,0.88,1
6.72,9.13,0.53,54.5,13.44,17,0,0.58,1
11.39,18.16,0.15,141.99,22.78,16,0,0.68,1
11.44,18.49,0.38,84.98,22.88,13,0,0.48,1
2.0,5.27,0.18,31.1,3.99,0,0,0.78,1
13.59,29.6,0.32,119.15,27.17,16,0,0.69,1
7.83,21.2,0.31,97.52,15.65,6,0,0.7,1
12.48,31.46,0.35,141.7,24.97,15,0,0.99,1
5.14,5.25,0.11,68.3,10.28,0,0,0.73,1
13.49,36.96,0.47,160.54,26.97,14,0,0.93,1
6.14,13.59,0.42,60.71,12.29,1,0,0.77,1
0.66,0.95,0.34,26.2,1.31,1,0,0.76,1
13.63,19.26,0.18,149.01,27.26,23,1,0.48,1
1.82,4.99,0.18,37.47,3.65,4,0,0.58,1
5.13,6.07,0.47,67.0,10.26,3,0,0.53,1
14.28,17.02,0.12,113.52,28.55,2,0,0.74,1
14.28,33.37,0.21,182.84,28.57,7,0,0.37,1
8.81,18.9,0.58,124.3,17.63,13,0,1.0,1
9.66,10.13,0.22,114.92,19.32,5,0,0.74,1
7.0,8.06,0.35,76.78,14.0,22,0,0.5,1
4.75,6.14,0.22,61.63,9.5,10,0,0.66,1
5.27,16.89,0.57,50.32,10.53,4,0,0.92,1
10.25,18.19,0.6,97.34,20.5,4,1,0.69,1
11.41,17.04,0.47,155.01,22.82,13,0,0.6,1
11.98,30.67,0.31,125.81,23.96,23,0,0.75,1
11.95,20.39,0.3,126.64,23.9,16,0,0.68,1
1.82,2.6,0.41,41.28,3.64,18,0,0.74,1
7.67,15.48,0.44,105.93,15.34,10,0,0.63,1
1.33,1.6,0.27,31.99,2.67,6,0,0.71,1
8.47,9.62,0.43,78.29,16.94,12,0,0.74,1
6.9,14.01,0.32,60.16,13.8,18,0,0.79,1
13.37,15.21,0.09,167.7,26.74,17,0,0.84,1
5.59,17.05,0.19,83.93,11.18,15,0,0.53,1
2.2,2.5,0.36,38.59,4.39,11,0,0.55,1
2.57,7.06,0.35,34.57,5.15,14,0,0.57,1
11.54,36.97,0.36,126.69,23.08,0,1,1.0,0
9.46,12.94,0.59,91.66,18.93,10,0,0.53,1
1.97,3.26,0.08,32.0,3.93,6,0,0.8,1
1.72,1.85,0.34,39.66,3.44,15,1,0.58,1
10.66,20.41,0.49,91.19,21.33,8,0,0.68,1
1.56,3.34,0.35,35.52,3.11,19,0,0.7,1
12.42,19.85,0.18,119.41,24.83,8,0,0.37,1
10.74,18.14,0.14,135.95,21.48,11,0,0.91,1
1.68,3.3,0.11,36.64,3.36,18,0,0.81,1
1.73,2.25,0.2,30.14,3.46,13,0,0.74,1
14.81,18.06,0.35,140.63,29.61,11,0,0.83,1
5.93,6.66,0.26,60.41,11.85,23,0,0.52,1
5.87,6.0,0.7,78.71,11.75,8,0,0.53,1
12.29,27.3,0.1,128.27,24.57,20,0,0.7,1
14.24,18.09,0.24,125.07,28.47,11,0,0.77,1
14.8,27.12,0.13,128.11,29.59,12,0,0.46,1
11.42,15.07,0.08,86.28,22.85,4,0,0.9,1
5.96,9.81,0.73,58.69,11.91,4,0,0.86,1
1.71,1.72,0.5,37.1,3.42,8,1,0.58,1
11.77,14.77,0.3,129.09,23.54,18,0,0.8,1
8.6,8.91,0.43,84.38,17.19,19,0,0.67,1
6.65,7.59,0.16,92.18,13.3,5,0,0.63,1
13.64,14.71,0.14,134.47,27.28,7,1,0.7,1
2.11,2.45,0.03,42.31,4.22,17,0,0.5,1
7.64,12.86,0.41,100.01,15.29,12,0,0.77,1
0.66,1.51,0.52,27.27,1.33,15,0,0.81,1
7.3,13.82,0.22,99.87,14.59,19,0,0.79,1
1.32,4.96,0.09,32.84,2.63,4,0,0.92,1
2.22,3.46,0.4,42.78,4.45,21,0,0.57,1
2.2,3.51,0.34,43.01,4.41,10,0,0.78,1
